Timestamp,RD13,RD212,RD36,RD415,RD515
46,-5.532028768,-2.460916184,-0.010984623,-3.28947842,-2.962357643
47,-5.532028768,-2.460916184,-0.010931499,-3.292037213,-2.950661929
48,-5.532028768,-2.460916184,-0.010847237,-3.289856161,-3.018825781
49,-5.532028768,-2.460916184,-0.01026441,-3.288559294,-2.418163764
50,-5.532028768,-2.460916184,-0.010746829,-3.29017019,-2.416241412
51,-5.532028768,-2.460916184,-0.012090319,-3.287528372,-2.390517393
52,-5.532028768,-2.460916184,-0.008685976,-3.2927512,-2.446826492
53,-5.532028768,-2.460916184,-0.00620885,-3.299265683,-2.554888952
54,-5.532028768,-2.460916184,-0.007043387,-3.296647344,-2.431366886
55,-5.532028768,-2.460916184,-0.010101919,-3.295596029,-1.318754208
56,-5.532028768,-2.460916184,-0.007689253,-3.285466255,0.924595289
57,-5.532028768,-2.460916184,-0.008640059,-3.281968414,-1.701303926
58,-5.532028768,-2.460916184,-0.010798043,-3.280506185,-0.249174807
59,-5.532028768,-2.460916184,-0.01386255,-3.279972524,-0.592632385
60,-5.532028768,-2.460916184,-0.013363687,-3.279567695,-2.525367195
61,-5.532028768,-2.460916184,-0.011599704,-3.280855133,0.785653044
62,-5.532028768,-2.460916184,-0.013644121,-3.279383426,0.906302347
63,-5.532028768,-2.460916184,-0.01474624,-3.276818308,0.373871786
64,-5.532028768,-2.460916184,-0.015488257,-3.276040667,-0.347576025
65,-5.532028768,-2.460916184,-0.011899091,-3.301767849,-2.284447612
66,-5.532028768,-2.460916184,-0.011686705,-3.494866676,0.755404437
67,-5.532028768,-2.460916184,-0.012706586,-3.539125866,0.903664704
68,-5.532028768,-2.460916184,-0.013485843,-3.381886499,0.858618411
69,-5.532028768,-2.460916184,-0.028487179,-3.353311273,0.679572545
70,-5.532028768,-2.460916184,-0.029407217,-3.326685729,0.574862997
71,-5.532028768,-2.460916184,-0.017011071,-3.299116524,-1.735884196
72,-5.532028768,-2.460916184,-0.017429753,-3.306664211,-1.861211935
73,-5.532028768,-2.460916184,-0.018405671,-3.265070266,-3.012841447
74,-5.532028768,-2.460916184,-0.39516938,-3.200865405,-2.683309485
75,-5.532028768,-2.460916184,-0.918170947,-3.229991859,-2.451250144
76,-5.532028768,-2.460916184,-2.95601384,-3.229991859,-2.451250144
77,-5.532028768,-2.460916184,-3.817576926,-3.229991859,-2.451250144
78,-5.532028768,-2.460916184,-3.820775625,-3.229991859,-2.451250144
